id_port,SpaceL_deg,SpaceL_close_unw,SpaceL_close_dur
4008,71,2.3616,11.7832
3126,14,3.0549,9.0961
4452,11,3.119,10.8334
2733,89,2.2815,9.8731
2489,7,3.389,12.2677
333,16,2.7346,8.1941
4977,43,2.7483,12.9722
4448,8,3.2174,8.331
8029,30,2.5652,7.9314
2334,4,3.7986,16.1242
4510,16,2.9771,11.1103
3370,17,3.2975,12.9839
6424,17,2.9199,9.1317
181,68,2.3867,8.1527
4830,14,2.9359,8.7794
2823,38,2.7208,9.1035
5521,66,2.405,8.32
4436,9,2.8467,10.3242
1509,61,2.1922,10.3337
2388,77,2.3158,8.8896
4774,29,2.9314,9.17
1917,47,2.5629,8.3687
4858,36,2.7735,12.2377
3179,13,2.6339,11.966
4247,61,2.4691,8.0164
7895,6,2.8993,9.7108
689,30,3.1053,9.2832
5836,13,3.0938,9.0556
7597,39,2.7757,12.9196
4827,43,2.6201,10.1134
2992,54,2.4874,9.2903
3218,7,3.0183,10.6309
273,47,2.5263,11.5489
3917,12,2.8444,12.1213
8805,49,2.6751,9.8837
4173,27,2.9725,14.7748
4402,20,2.7712,10.3555
774,11,2.7872,10.3716
1159,14,3.1419,10.6525
232,6,3.4485,11.1734
490,34,2.643,10.4696
3976,12,2.8146,9.7773
1504,118,2.254,9.574
3107,19,2.7666,10.538
1675,52,2.4119,7.6751
3092,34,2.6064,10.9436
5753,13,3.167,11.0118
5956,15,3.1007,10.9211
2067,8,2.9611,9.4585
2331,49,2.5286,11.916
3952,7,3.4874,11.9084
5171,20,2.7437,8.5281
2594,19,2.8078,11.522
2760,6,3.4485,10.0505
3837,9,3.1922,8.6129
1816,11,3.3387,13.0424
369,19,2.6773,14.0477
5899,25,2.8032,10.4533
5677,12,3.2449,9.2463
3110,11,2.7574,15.322
1952,28,2.6911,10.1582
3099,19,3.1213,11.4833
4188,20,2.8924,11.048
854,17,2.6613,11.2886
4837,120,2.2128,8.396
1140,15,2.8604,8.0711
8857,57,2.4577,10.9314
1532,37,2.9268,8.7375
4625,15,2.8673,10.0167
2771,39,2.9703,8.9817
2828,46,2.5263,9.9341
943,26,2.7963,9.1708
143,35,2.7872,10.2843
3010,18,2.7414,8.4492
5015,36,2.5286,9.9314
4352,23,2.8444,11.023
1782,13,2.7002,10.5664
311,22,3.0137,12.2398
1340,7,3.4737,15.2991
3130,23,3.0046,10.8423
2833,24,2.6979,11.2753
2369,13,3.2838,15.9017
6196,7,2.7986,9.8408
6514,20,2.508,8.2301
207,24,3.0114,10.8667
484,15,3.0275,8.711
1413,12,2.8787,9.6658
5581,21,2.9588,10.54
1697,101,2.1053,8.3441
5625,12,3.0435,10.5523
3610,72,2.1899,10.742
2605,25,2.6133,9.9613
4404,13,2.6384,10.3285
2220,15,2.9954,10.475
3766,10,2.8238,8.4187
2842,95,2.4554,10.7257
1872,27,2.8009,10.9017
3458,139,2.0526,7.9793
1847,33,2.8581,8.9113
4787,5,3.4508,10.181
4747,40,2.7071,9.1282
4244,12,3.0046,8.9938
1286,17,3.0046,11.1193
1734,6,3.5995,12.0084
238,6,3.3616,13.1135
4851,20,2.913,8.1893
4529,10,3.032,8.4058
5345,7,3.1716,11.7311
4564,12,2.8833,14.6426
5196,41,2.476,9.9077
5450,12,2.778,10.2696
3983,51,2.8055,9.4607
4279,7,3.0435,10.6039
4752,26,3.087,9.1453
2815,55,2.4851,9.7654
5676,24,2.7963,10.4119
4067,27,2.5355,14.3643
2821,14,2.7597,8.4959
1747,54,2.4371,10.2035
2101,99,2.1373,8.1259
5724,12,2.7597,11.0072
426,51,2.4416,7.9715
3767,27,2.7025,10.8624
1392,9,2.9497,11.9422
1165,222,1.8535,8.9581
4611,36,2.3478,7.9472
2200,26,2.8513,9.7431
6512,75,2.1739,9.111
3974,31,2.6796,9.7018
306,7,2.9268,9.2719
5629,14,2.6476,13.5775
2831,25,2.6751,10.5696
5363,34,2.7895,9.8005
3315,15,2.6384,11.6525
639,19,2.9314,9.9724
686,50,2.4211,8.5524
1988,21,2.8032,9.0088
6323,5,3.1693,12.0234
5908,4,3.4645,8.7753
1593,20,2.7025,14.018
2088,12,2.8993,9.8432
1708,12,3.2494,9.0435
2207,10,3.103,13.7259
4844,11,2.8192,8.4633
3595,58,2.7277,9.2155
8092,32,2.7231,8.7229
2417,6,3.135,11.8395
4624,34,2.6087,10.6768
889,45,2.3844,8.5689
941,127,2.0755,7.986
3521,54,2.5355,8.421
732,42,2.7414,8.3022
1503,53,2.2311,10.5826
5774,7,2.8307,10.9972
4542,10,3.1281,10.9685
819,23,2.9016,8.4034
5152,18,2.5721,10.7065
2940,17,3.1213,15.7247
1831,29,2.6613,8.19
4403,15,2.7346,9.6308
5290,25,2.7689,9.9857
837,22,2.881,9.758
5608,11,2.9977,10.5257
5493,52,2.524,10.4019
2151,64,2.4989,10.3818
3725,59,2.4874,9.5414
5891,52,2.5721,8.3409
1276,12,3.0732,10.8709
3560,4,2.8993,9.8327
2204,29,2.6407,10.9515
7606,35,2.4691,11.7791
4761,17,2.6293,11.325
3077,29,3.0366,10.5989
2729,22,3.0915,11.4167
283,13,2.9268,9.7118
3867,35,2.5103,9.5094
9581,27,3.0252,10.7764
4410,40,2.6773,10.1229
1698,10,2.8719,15.9866
1219,32,2.8032,12.6733
2999,15,2.7712,11.1561
4070,23,2.6316,8.8564
5643,13,2.8421,12.7711
5865,4,3.0984,8.5317
4488,3,3.8169,16.6366
828,23,3.2494,9.0889
4588,4,3.611,12.3987
1080,36,2.7735,8.1658
9826,19,2.9954,11.0331
5393,41,2.7277,10.5743
3125,13,2.849,9.2899
5757,31,2.5812,8.5381
5146,43,2.7002,10.0413
1600,32,2.7162,14.6928
4984,9,3.1968,11.1363
394,13,3.3043,12.0416
903,23,2.6201,10.2068
3012,72,2.4279,8.6456
3724,43,2.5423,8.2891
5708,11,3.1419,10.798
5133,15,2.7666,9.9287
5268,12,2.9497,7.7805
3241,34,2.611,12.592
5022,20,2.7071,10.7938
856,68,2.2471,9.9067
830,156,2.103,7.7844
1828,99,2.1693,7.6249
1323,12,3.1831,11.1851
3324,5,3.1419,11.78
966,20,2.4851,11.0336
219,18,2.7574,13.2127
1483,23,2.8741,10.1398
6133,10,3.4302,10.6819
5767,22,2.6453,11.4109
2491,27,2.762,12.5118
3871,12,2.6041,11.2627
4453,19,3.0275,11.2921
205,29,2.7963,9.009
8048,104,2.0961,7.9629
2145,10,2.8902,8.4029
151,16,2.7643,10.7613
843,23,2.6773,7.8888
4337,40,2.476,9.0573
3832,52,2.6545,10.9155
2302,13,2.9817,9.3376
5233,66,2.3318,10.8718
2121,10,3.1602,9.9041
5295,178,2.1785,9.8644
5123,9,2.9199,14.1867
2688,47,2.6224,8.3552
5224,26,2.7918,8.6788
7596,24,2.373,10.4383
593,27,2.5629,10.6938
2213,3,3.8146,17.1907
7762,13,2.8856,12.2397
5145,17,2.8879,9.5414
681,18,2.8124,9.2212
501,31,2.3936,8.7494
1652,6,2.8352,10.9445
3062,18,2.7666,8.4453
1452,25,2.73,10.3325
5041,4,3.4966,13.5791
253,15,2.8307,9.1582
372,4,3.1739,10.1946
2235,7,3.135,12.0334
1254,18,3.373,12.5614
9703,84,2.2037,7.8701
1786,25,2.7551,8.0663
1314,10,3.1396,10.0557
5134,11,2.9062,9.8397
1107,4,3.4989,12.8709
811,20,2.7735,10.7326
790,20,2.9908,11.0203
6418,16,2.6041,9.1042
2414,8,2.9497,8.3085
6047,30,2.8215,9.0749
1546,7,3.2906,9.8807
7559,83,2.2243,10.0679
3590,51,2.4783,9.0635
1139,27,2.865,9.9054
2993,105,2.3043,8.4692
5749,26,2.8307,8.8349
6142,12,2.7941,8.2529
1369,33,2.6407,10.6725
2631,51,2.5057,10.7986
3191,12,2.9016,9.8668
5075,10,2.9519,10.4719
3719,35,2.6568,7.9138
2385,16,3.1487,9.7915
2567,33,2.7483,11.3531
2714,7,3.0526,9.146
4717,8,3.1693,11.0606
5094,7,3.1762,12.3185
3272,57,2.4439,10.0714
2201,5,3.508,11.2802
963,14,3.2838,11.1328
4250,26,2.5446,9.4752
4992,67,2.4416,8.8021
576,152,1.9817,7.568
3380,5,3.016,10.1427
3618,16,2.7689,10.5321
5137,16,2.6133,10.0456
4444,13,2.7849,8.7962
1282,18,2.7208,9.515
8914,20,2.8947,11.1537
3824,11,3.3112,12.7557
90,38,2.5057,10.9661
1182,168,2.032,9.4236
2779,11,3.3341,9.2812
4326,63,2.659,9.192
4760,19,3.2334,8.7561
1612,11,2.7872,11.4168
2346,46,2.6041,9.7573
4438,17,3.0961,9.4125
5778,35,2.3936,9.6166
1997,20,2.8627,8.3748
4295,5,3.2014,11.0907
3432,20,2.6156,9.6743
9719,17,3.1602,8.7226
3529,42,2.4966,8.5848
2935,23,2.6842,8.7102
8435,22,2.6545,12.4433
5917,17,2.7483,8.8724
1441,13,3.3959,10.7535
4458,13,3.6522,10.2001
3106,22,3.1465,8.8567
7598,49,2.5332,13.0181
502,6,3.4073,10.7436
70,2,3.4096,10.6099
4867,9,3.2654,12.7028
4640,40,2.3158,8.3174
1878,20,2.8741,10.6603
1891,15,2.8947,9.6097
9468,33,2.5332,9.7401
2394,10,2.8856,8.9196
3647,33,2.5698,9.6176
4042,38,2.7643,10.2083
2157,6,3.1304,10.8836
4700,28,2.8146,10.8688
5160,9,3.0915,9.2289
5490,19,2.7071,11.6931
5923,13,3.3936,10.7338
4572,74,2.2746,10.6296
4823,4,3.6728,13.5177
402,17,2.7437,10.7605
4165,59,2.7208,8.9458
4231,15,3.103,10.9728
4593,60,2.4828,9.7837
2664,33,2.6842,11.2426
1534,19,3.3158,13.2514
1995,12,2.8902,9.3451
115,146,1.968,8.4895
2549,93,2.3959,9.2097
2445,61,2.4714,9.4573
3434,18,2.8924,9.3362
3381,17,2.714,10.7676
3978,12,3.0755,9.7164
5889,21,2.7368,10.862
5263,28,2.8192,12.3956
5477,32,2.5652,8.0248
1231,11,3.0069,11.1906
611,9,3.4462,11.6118
3915,43,2.5721,8.2172
1142,9,2.9931,9.7456
3662,30,2.6705,15.7752
2978,98,2.0641,10.0931
2131,61,2.3341,10.0766
3415,16,2.5812,9.301
4289,41,2.8192,8.4247
8839,10,3.1304,12.0347
3035,8,3.1579,10.0804
5157,21,2.4805,11.7745
5554,50,2.5011,8.5216
298,77,2.3158,10.9741
5403,3,2.9268,10.1893
1304,18,2.7941,9.4684
166,23,2.9062,8.5369
1524,19,2.6728,11.4359
3592,43,2.6773,8.6203
3624,18,2.7048,12.3002
1817,19,2.7689,11.017
4345,28,2.8856,8.8394
3501,9,2.7002,9.7483
2266,33,2.6613,9.9945
3144,33,2.659,11.8608
818,10,3.1693,12.1019
722,27,2.7071,10.1571
6166,64,2.3524,9.6925
4868,10,2.8856,12.2763
4592,12,2.778,10.2575
4258,15,3.0343,9.5522
4714,14,2.7941,8.9667
821,73,2.7231,8.6872
808,7,3.8604,11.3051
5522,30,3.0915,9.0259
1658,44,2.6407,10.9458
6464,17,2.7574,9.837
2775,24,2.9199,10.9833
2241,15,3.1533,9.7773
944,8,2.8032,12.0622
5793,15,2.6934,12.8921
185,107,2.2037,10.0765
603,44,2.3593,10.0653
5438,28,3.0458,10.3268
2539,15,3.151,12.0581
2756,26,2.7963,9.1855
4620,36,2.6407,11.3233
5096,13,2.7803,10.7901
3169,27,2.6224,8.784
2685,24,2.9176,8.2703
4899,52,2.2883,11.2435
1965,11,2.8627,14.7254
3164,166,1.9291,9.1253
8956,16,2.7803,10.4214
4646,25,2.7803,8.9437
4604,96,2.1899,8.963
4779,12,2.8124,12.242
5760,26,2.7963,9.6838
3943,10,3.5812,10.8573
5802,73,2.5263,10.7362
2994,25,2.8558,9.7923
2275,10,2.7803,9.2792
2865,49,2.6453,8.7854
1781,48,2.3249,11.9017
1549,4,4.0961,9.1347
670,42,2.6064,9.7454
4489,20,2.8215,12.5504
5135,20,2.8101,9.6196
2782,48,2.6659,10.4609
4400,25,2.8375,10.0941
8079,33,2.4005,10.4373
2248,94,2.0435,7.8545
1903,50,2.4737,8.2007
2503,18,2.7986,14.8069
130,16,2.6751,12.2814
5213,17,2.714,10.1303
2516,14,3.1213,10.8158
3326,6,2.8879,13.1912
5784,19,2.833,10.0908
4059,12,2.9382,8.3756
881,17,2.9222,13.0243
5270,20,2.9771,9.3711
1985,31,2.73,8.1375
3456,101,2.1762,8.251
167,65,2.2037,8.7852
2249,30,2.7826,10.026
3066,14,2.9634,12.3006
1912,26,2.4989,10.3706
42,17,2.7048,8.2432
1597,13,3.1602,11.0021
20,11,2.6247,10.7694
4303,42,2.6842,9.7778
5513,30,2.7117,7.7322
4006,35,2.8673,8.5986
2968,42,2.7483,10.1358
3817,72,2.4119,9.4619
8640,25,2.6568,9.1064
2918,9,3.5469,10.7007
